p_val,avg_log2FC,pct.1,pct.2,p_val_adj,SYMBOL,ENTREZID,ENSEMBL
3.7790607552178417e-157,-0.5564971393674061,0.419,0.545,4.6607156294101643e-153,SYTL3,94120,ENSG00000164674
7.135449870708274e-156,-0.5520072734976698,0.392,0.517,8.800150325544513e-152,ISG20,3669,ENSG00000172183
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000125498
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000273510
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000278805
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000276820
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000274782
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000275080
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000277616
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000275276
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000278755
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000275750
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000277356
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000276310
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000273794
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000278207
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000278248
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000278495
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000276625
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000278821
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000274692
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000275522
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000277833
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000275196
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000276387
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000274926
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000278738
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000278503
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000284347
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000283723
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000284401
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000284551
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000284514
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000284100
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000284530
1.9245304805568316e-154,-1.658013043706948,0.033,0.097,2.3735234416707408e-150,KIR2DL1,3802,ENSG00000284145
2.1742919083999687e-150,0.17809108894180792,0.985,0.983,2.6815542106296815e-146,TMSB10,9168,ENSG00000034510
8.182527817071648e-150,-1.8477617623732645,0.033,0.096,1.0091511556794463e-145,ACSL1,2180,ENSG00000151726
1.0519715885721066e-149,0.3301465750290795,0.851,0.822,1.2973965601859789e-145,IL32,9235,ENSG00000008517
7.119889558130633e-149,0.19804640989767464,0.968,0.968,8.78095979204251e-145,RPS15A,6210,ENSG00000134419
1.1528861043105207e-148,-2.2713131741840753,0.014,0.062,1.421854432446165e-144,TUBB1,81027,ENSG00000101162
7.888475776780795e-147,-0.9926147738775244,0.138,0.237,9.728857175503756e-143,SOCS1,8651,ENSG00000185338
1.6244805039153387e-146,-2.2169820720150706,0.015,0.064,2.0034718054787874e-142,MKI67,4288,ENSG00000148773
4.185549202891365e-142,-0.21313640791344124,0.632,0.793,5.16203783192592e-138,GNLY,10578,ENSG00000115523
2.2607997838400896e-140,0.4649654397804417,0.647,0.558,2.788244373409983e-136,GZMM,3004,ENSG00000197540
5.99675739828158e-135,0.646689056039812,0.464,0.361,7.395800899300673e-131,ATP5ME,521,ENSG00000169020
1.033142284021501e-134,-2.959802069568122,0.007,0.043,1.274174378883717e-130,ITGB3,3690,ENSG00000259207
3.1641266704535184e-128,0.31457384784738807,0.857,0.79,3.9023174226703235e-124,TMA7,51372,ENSG00000232112
2.5601054791875688e-127,-1.0645041685621095,0.002,0.03,3.157378087482029e-123,HBG2,3048,ENSG00000196565
6.272682281017219e-126,-1.9606273954680904,0.015,0.058,7.736099057178536e-122,TYMS,7298,ENSG00000176890
5.0699274773407975e-124,-2.312009985889625,0.013,0.055,6.252741557804406e-120,GP9,2815,ENSG00000169704
5.080310367668603e-124,0.24607139527501776,0.918,0.895,6.265546776445687e-120,IFITM1,8519,ENSG00000185885
1.2120056888390447e-123,-1.6300446953541528,0.039,0.098,1.494766616045194e-119,LYZ,4069,ENSG00000090382
4.01364098518587e-123,-1.1195648237125335,0.094,0.174,4.9500234270297334e-119,CST3,1471,ENSG00000101439
7.242855101964255e-122,-1.6806316566642052,0.023,0.072,8.932613197252515e-118,CSGALNACT1,55790,ENSG00000147408
1.6556760469479271e-121,0.6232830941121101,0.436,0.331,2.0419452687008787e-117,GADD45B,4616,ENSG00000099860
1.6311125305540437e-120,-2.729659195580888,0.007,0.041,2.0116510839323022e-116,THBS1,7057,ENSG00000137801
4.109953983248259e-120,0.4805236446213281,0.632,0.544,5.0688062475400774e-116,RNF213,57674,ENSG00000173821
6.566814922066283e-120,-0.9509457121597596,0.115,0.198,8.098852843384345e-116,STMN1,3925,ENSG00000117632
9.058444073781775e-119,-0.18395205926045932,0.855,0.906,1.1171779076195063e-114,RPS26,6231,ENSG00000197728
1.287325096966963e-118,-2.428807391702883,0.006,0.039,1.5876580420893551e-114,ENTPD1,953,ENSG00000138185
4.399715533066908e-118,-2.46145887369084,0.009,0.045,5.4261691669314174e-114,CMTM5,116173,ENSG00000166091
7.180177865222181e-118,-2.4529263568830952,0.01,0.047,8.855313361178516e-114,PTGS1,5742,ENSG00000095303
1.2473673953815503e-114,-0.526032405027663,0.369,0.473,1.538378208724066e-110,ANXA2,302,ENSG00000182718
6.539090825527781e-113,-0.4805859845180671,0.362,0.474,8.064660715123412e-109,CYTIP,9595,ENSG00000115165
8.716688464598601e-111,-3.5939492643088395,0.001,0.025,1.0750291883389456e-106,CD163,9332,ENSG00000177575
1.5008185428868522e-109,-2.7393430669133725,0.006,0.036,1.850959508942355e-105,MYBL2,4605,ENSG00000101057
1.1927894644696265e-108,-1.0690172352891727,0.12,0.2,1.4710672465303897e-104,CTSA,5476,ENSG00000064601
1.2452462676732784e-107,-0.5878678089736563,0.2,0.301,1.5357622219214545e-103,CD320,51293,ENSG00000167775
1.6811127212933387e-107,-1.129085123488491,0.042,0.098,2.0733163191710745e-103,RUNX2,860,ENSG00000124813
2.4125877621382437e-106,-0.3656297299742217,0.544,0.638,2.9754444870450958e-102,CCND3,896,ENSG00000112576
4.1532704195082234e-104,-3.059196890179971,0.005,0.033,5.122228408379492e-100,UBE2C,11065,ENSG00000175063
3.291628743450312e-102,0.18483478899568873,0.934,0.916,4.059565729297269e-98,EIF1,10209,ENSG00000173812
1.6757489965312188e-101,0.19782749868821625,0.951,0.948,2.066701237421952e-97,SH3BGRL3,83442,ENSG00000142669
4.536701036456998e-101,0.17401969534230588,0.962,0.959,5.595113388262415e-97,RPL19,6143,ENSG00000108298
1.3112137761379064e-100,-1.9084115325629272,0.024,0.067,1.6171199501108796e-96,RRM2,6241,ENSG00000171848
1.3646976399929446e-98,-1.1043907424522807,0.071,0.135,1.6830815994032988e-94,ELL2,22936,ENSG00000118985
4.297696639404841e-98,0.3766143628907388,0.653,0.583,5.300349265377989e-94,RPL38,6169,ENSG00000172809
4.520471168409539e-98,-0.4924528114170811,0.247,0.349,5.575097091999483e-94,GPATCH8,23131,ENSG00000186566
5.101620204424021e-98,0.2370460435408912,0.867,0.836,6.291828198116144e-94,UBC,7316,ENSG00000150991
2.182889991429612e-97,0.35242813699435294,0.716,0.66,2.6921582264301404e-93,EFHD2,79180,ENSG00000142634
5.185674508050161e-97,-3.160964862398691,0.004,0.03,6.395492370778264e-93,IGFBP2,3485,ENSG00000115457
7.118361254811846e-96,-0.6817964230724276,0.094,0.167,8.779074935559451e-92,LGALS3,3958,ENSG00000131981
1.971607146655515e-95,-0.9562155962772634,0.108,0.181,2.4315830939702465e-91,LIMS1,3987,ENSG00000169756
3.9848212048150314e-91,0.5164569746481305,0.482,0.401,4.914479991898379e-87,CD3D,915,ENSG00000167286
4.8895309410177264e-91,-1.7273724660561152,0.015,0.05,6.030258509557162e-87,GNG11,2791,ENSG00000127920
7.019237598699273e-90,-0.5205811922432974,0.241,0.337,8.656825730475814e-86,HERPUD1,9709,ENSG00000051108
